D,D,D,D,D,D,D,D
4.337818857322913e-09,2.8165219902750372e-09,3.105642811157278e-09,3.7775978808007385e-09,3.206844700763746e-09,3.767071563357252e-09,4.6705513447883645e-09,4.994636953822646e-09
4.345011888048605e-09,2.7603459116974078e-09,3.0145464331470944e-09,3.618746600202528e-09,3.087517923889029e-09,3.6864631688783e-09,4.5508647966784335e-09,4.899080443860981e-09
4.356380796102231e-09,2.706714237453737e-09,2.92743433682773e-09,3.469909832401089e-09,2.975144088110544e-09,3.609618181856655e-09,4.4371916372581224e-09,4.808313567280147e-09
4.372274368170133e-09,2.655612259068296e-09,2.8441754520304432e-09,3.3303422478251062e-09,2.8693274975463276e-09,3.536484499582949e-09,4.32929418416586e-09,4.722234852729319e-09
4.393103269804727e-09,2.607031535958757e-09,2.764649121745314e-09,3.199378168077337e-09,2.7697091833993707e-09,3.467020950563411e-09,4.2269576888222465e-09,4.6407597652864106e-09
4.419353926502116e-09,2.5609706736239382e-09,2.688744847060194e-09,3.076421879397076e-09,2.675963793440194e-09,3.401198270593477e-09,4.129989711299659e-09,4.563821674995092e-09
4.451606319346862e-09,2.517436294918823e-09,2.616362156129933e-09,2.9609394578793566e-09,2.587796991110453e-09,3.3390003685871196e-09,4.038219824026093e-09,4.491373211321737e-09
4.490557046652695e-09,2.476444256015773e-09,2.547410611417024e-09,2.8524518712700327e-09,2.5049433293768567e-09,3.2804259568910952e-09,3.9514996782129475e-09,4.423388093497312e-09
4.5370495639000154e-09,2.4380211754544954e-09,2.4818099758711917e-09,2.750529172117217e-09,2.427164580597137e-09,3.225490645792873e-09,3.869703484505027e-09,4.3598635575622806e-09
4.5921143513354235e-09,2.402206367874505e-09,2.419490567184729e-09,2.6547856386750574e-09,2.354248520906403e-09,3.174229636476934e-09,3.792728982472877e-09,4.300823543332036e-09
4.6570230317269705e-09,2.369054306413793e-09,2.360393840689444e-09,2.564875755887006e-09,2.28600818740001e-09,3.1267011950911876e-09,3.7204990047195028e-09,4.246322863607636e-09
4.7333624378800014e-09,2.338637783600018e-09,2.3044732571490154e-09,2.4804909614075236e-09,2.222281650561403e-09,3.082991159326006e-09,3.652963784299271e-09,4.196452661503842e-09
4.823137771444004e-09,2.31105200635667e-09,2.2516955136255273e-09,2.401357113308257e-09,2.162932375642547e-09,3.0432188279793013e-09,3.59010421445151e-09,4.1513475816280376e-09
4.928919117193709e-09,2.286419956653397e-09,2.202042246756862e-09,2.327232669501936e-09,2.1078502890497876e-09,3.007544729035219e-09,3.5319363560222092e-09,4.111195255550499e-09
5.0540541722693374e-09,2.2648994914609973e-09,2.1555123628096806e-09,2.2579076073238834e-09,2.0569537253180662e-09,2.976180977835601e-09,3.4785176138986482e-09,4.076248961005753e-09
5.2029849465838405e-09,2.2466928702067236e-09,2.11212521511159e-09,2.1932031597500478e-09,2.0101925166349752e-09,2.9494052648561532e-09,3.429955191004455e-09,4.046844705426976e-09
5.381732976963211e-09,2.2320597282991083e-09,2.0719249487262303e-09,2.132972509300487e-09,1.9675526156752007e-09,2.9275800207129813e-09,3.3864177122768112e-09,4.0234245872464875e-09
5.598667843573242e-09,2.221335035426341e-09,2.034986483977106e-09,2.077102672589377e-09,1.929062839580026e-09,2.9111791115081958e-09,3.348151350720955e-09,4.006569238385693e-09
5.865772772838454e-09,2.2149544166272736e-09,2.0014238475286162e-09,2.025517945497958e-09,1.8948046322758273e-09,2.9008257273251564e-09,3.315502484714157e-09,3.997043685950762e-09
6.200827759373782e-09,2.2134906060685793e-09,1.9714019391697237e-09,1.9781854910888957e-09,1.8649262410672767e-09,2.897347317526166e-09,3.288950049570466e-09,3.995863519439013e-09
6.631392891246847e-09,2.21770718432922e-09,1.945153446088676e-09,1.9351239922840504e-09,1.8396635309672966e-09,2.901857210450637e-09,3.2691526442218813e-09,4.0043926148689934e-09
7.202599673033391e-09,2.228639967331517e-09,1.923003672406235e-09,1.896416854201464e-09,1.819371077504624e-09,2.9158793324375914e-09,3.257018734281361e-09,4.024491412209026e-09
7.993802415152809e-09,2.2477241904081107e-09,1.905407901013041e-09,1.862232405693146e-09,1.8045696940820387e-09,2.941545096543965e-09,3.253814173824105e-09,4.0587490489899905e-09
