D,D,D,D,D,D,D,D
1.2011380119406668e-08,1.2294697612243586e-08,1.2569752328687322e-08,1.3301017310675696e-08,1.7230855358910032e-08,1.809396384196235e-08,2.363605446800792e-08,2.9114305265323313e-08
1.1742627902893584e-08,1.2313404571382493e-08,1.260096070857314e-08,1.3281765984083777e-08,1.736522747469143e-08,1.7786998137371157e-08,2.3137104756612333e-08,2.864978586462756e-08
1.1469328298327592e-08,1.2350823314430402e-08,1.2654436002177548e-08,1.3286053697824238e-08,1.7551771340776575e-08,1.7490577465633945e-08,2.2647466274638595e-08,2.8195551529684853e-08
1.1189497222123217e-08,1.2410202225511152e-08,1.2734526355997546e-08,1.3318344302753057e-08,1.780351415925588e-08,1.7204067473142044e-08,2.2165042293916327e-08,2.774991971054172e-08
1.090066711671518e-08,1.2495913451806676e-08,1.2847148007107765e-08,1.3384738574804348e-08,1.8138933245599813e-08,1.6926706002517897e-08,2.1687265835727373e-08,2.7310829923468093e-08
1.059973059008814e-08,1.261399936196214e-08,1.30005784674369e-08,1.3493808767541549e-08,1.8585154850506024e-08,1.6657548703514782e-08,2.1210913601484428e-08,2.6875688348962905e-08
1.0282719170462904e-08,1.2773072762362005e-08,1.3206785879755749e-08,1.3658001663905277e-08,1.9183705607566992e-08,1.6395385889583322e-08,2.073182788160821e-08,2.6441132238941024e-08
9.94448342947731e-09,1.2985870386075724e-08,1.34837710967874e-08,1.3896119799305798e-08,2.0001557619548485e-08,1.6138611099628612e-08,2.024448828867019e-08,2.6002661091783225e-08
9.578219058123348e-09,1.3272088863539078e-08,1.3859953507345961e-08,1.4237989442263091e-08,2.115418147220125e-08,1.5885005022953376e-08,1.97413290173746e-08,2.5554037291915877e-08
9.174744791472325e-09,1.3663935497666348e-08,1.4383035403241556e-08,1.4733950910303736e-08,2.2859208061925613e-08,1.5631363434203183e-08,1.921160546252412e-08,2.5086268255198464e-08
8.721366098343169e-09,1.421800142071451e-08,1.513977463019173e-08,1.5476192165192012e-08,2.5581588113871183e-08,1.5372819632723583e-08,1.8639419845297463e-08,2.4585783919915023e-08
