D,D,D,D,D,D,D,D
1.4654006828355557e-08,7.803056502857175e-09,1.2322689003039391e-08,-1.7137735310997202e-08,-6.111446299427509e-08,2.63095776136317e-08,-2.0603199315540293e-08,2.4195176063106315e-07
1.3986174049653766e-08,7.55511671855545e-09,1.1824739662007902e-08,-1.878789941087008e-08,-8.923362507023575e-08,2.486150770915768e-08,-2.2673226158219408e-08,1.357869950496608e-07
1.3365287613452584e-08,7.316629703222909e-09,1.1351600904450061e-08,-2.086933916155304e-08,-1.7046855390879566e-07,2.3530325774961823e-08,-2.528830411977361e-08,9.359674556339359e-08
1.2787618844234565e-08,7.087423572657573e-09,1.0902044739886236e-08,-2.3576579382737454e-08,-2.9878784430849253e-06,2.2304092181969748e-08,-2.8695124210883516e-08,7.095607326053847e-08
1.2249828704748216e-08,6.867333248782833e-09,1.0474938797208153e-08,-2.724112851141196e-08,1.8537450803721518e-07,2.1172488598401377e-08,-3.3315109052691725e-08,5.68419916447854e-08
1.1748918196345521e-08,6.6562001260152565e-09,1.0069237194969728e-08,-3.2477821243182796e-08,8.828258682271306e-08,2.012655182615844e-08,-3.9932404977251775e-08,4.7208042716523555e-08
1.1282186147942172e-08,6.4538717572058945e-09,9.683972439076269e-09,-4.0569747997639866e-08,5.7244754605806006e-08,1.9158458408443713e-08,-5.0191129921844096e-08,4.0218935332089895e-08
1.0847193140449625e-08,6.260201557602126e-09,9.318248213792389e-09,-5.4714890899879494e-08,4.1975248145962686e-08,1.82613490506417e-08,-6.821960848697968e-08,3.492172551404435e-08
1.0441730551126077e-08,6.075048525628744e-09,8.971232954302028e-09,-8.572440574969125e-08,3.2900513279610206e-08,1.7429184531572582e-08,-1.081705515538763e-07,3.0772456317529655e-08
1.0063793888967681e-08,5.8982769797373e-09,8.642154103481011e-09,-2.07982418793672e-07,2.689317419871244e-08,1.6656626703394326e-08,-2.7165184748704204e-07,2.743800598638796e-08
9.711559744248726e-09,5.729756309709637e-09,8.330292968879669e-09,4.346147601898714e-07,2.2628219354414265e-08,1.5938939629785456e-08,4.921134797601968e-07,2.4702963205647653e-08
9.383365791659681e-09,5.569360741999373e-09,8.03498010894797e-09,1.0345330820243749e-07,1.9448098229991774e-08,1.5271906992951233e-08,1.2667446285417338e-07,2.2421855166634407e-08
9.077693386593176e-09,5.416969117831298e-09,7.755591185016704e-09,5.7834403823354253e-08,1.6989446359404895e-08,1.465176273231024e-08,7.192396496615743e-08,2.04928944543194e-08
8.793152369975475e-09,5.272464683535408e-09,7.49154322589429e-09,3.9721030448102166e-08,1.503511346296081e-08,1.4075132503999193e-08,4.985787077734611e-08,1.8842725811124223e-08
8.528467761452113e-09,5.135734892111687e-09,7.242291257536335e-09,3.0012388059399194e-08,1.3447341662624161e-08,1.3538984042192425e-08,3.7950203919163455e-08,1.7417146737062484e-08
8.28246807277861e-09,5.006671215475795e-09,7.0073252568401994e-09,2.3969817532919577e-08,1.2134520774464152e-08,1.3040584882447046e-08,3.050838398619284e-08,1.6175239625261157e-08
8.054075016137513e-09,4.885168966647162e-09,6.7861673941010234e-09,1.9853923088331023e-08,1.1033357734395532e-08,1.2577466203844398e-08,2.5424191081426814e-08,1.508553664020885e-08
7.842294416074236e-09,4.771127131318365e-09,6.578369532200251e-09,1.6875829086916198e-08,1.0098720254271969e-08,1.2147391780333257e-08,2.173631652365044e-08,1.4123440637364357e-08
