D,D,D,D,D,D,D,D
8.48340274469388e-09,7.999127660193867e-09,8.907922845563662e-09,5.220245092534483e-09,5.493863707871514e-09,1.2759368180987145e-08,5.604806534039687e-09,7.242007425238178e-09
8.358505132740356e-09,7.79501263207974e-09,8.683043490547258e-09,5.1104412562244174e-09,5.377851189690537e-09,1.2507348256200073e-08,5.519549818685217e-09,7.130784872029365e-09
8.235948851473403e-09,7.595739731299482e-09,8.463737241889685e-09,5.003695087103152e-09,5.264874082414457e-09,1.22612591962994e-08,5.437310633130851e-09,7.023232903045947e-09
8.115783611606805e-09,7.401329072457897e-09,8.250039385568824e-09,4.900065077634977e-09,5.1549817463699465e-09,1.202117322833944e-08,5.358161445919037e-09,6.919421906179399e-09
7.998061048977815e-09,7.211801254759775e-09,8.041986420333318e-09,4.7996136644765905e-09,5.0482265360866254e-09,1.1787165637902784e-08,5.282179609470389e-09,6.819426273156563e-09
7.882834819060255e-09,7.027177376779482e-09,7.839616110557221e-09,4.7024075666829845e-09,4.94466403089026e-09,1.1559314933042364e-08,5.209447778674153e-09,6.723324688388313e-09
7.770160696291396e-09,6.847479051582613e-09,7.64296754122445e-09,4.608518159205786e-09,4.8443532870065695e-09,1.1337703018103231e-08,5.140054373022196e-09,6.6312004430790925e-09
7.660096679947095e-09,6.672728422601544e-09,7.452081176425188e-09,4.518021886260378e-09,4.747357113824376e-09,1.1122415379768076e-08,5.0740940882201886e-09,6.5431417773828314e-09
7.552703106181484e-09,6.5029481799514486e-09,7.266998920641961e-09,4.431000719531046e-09,4.65374237683431e-09,1.0913541284925004e-08,5.011668463015457e-09,6.4592422535955726e-09
7.448042766812755e-09,6.338161577397674e-09,7.087764183379368e-09,4.347542666900519e-09,4.563580330417301e-09,1.071117399193767e-08,4.9528865087508835e-09,6.379601163409671e-09
7.346181035646109e-09,6.178392450018053e-09,6.914421947387239e-09,4.2677423385470925e-09,4.476946983950908e-09,1.0515410976245076e-08,4.897865409658639e-09,6.304323973425975e-09
7.247186002493414e-09,6.023665232423435e-09,6.747018840589953e-09,4.191701577867743e-09,4.393923505187771e-09,1.0326354171591749e-08,4.846731303404662e-09,6.233522812660125e-09
7.151128615733597e-09,5.874004977758251e-09,6.585603211941834e-09,4.119530166207434e-09,4.314596665400794e-09,1.014411022768326e-08,4.799620152868649e-09,6.1673170071274415e-09
7.058082833949296e-09,5.729437377408191e-09,6.4302252116415805e-09,4.0513466116015355e-09,4.239059331406303e-09,9.968790786233744e-09,4.756678721771499e-09,6.105833666634278e-09
6.968125787195387e-09,5.589988781426297e-09,6.280936875739588e-09,3.987279033503792e-09,4.167411010439345e-09,9.800512776466005e-09,4.718065668930111e-09,6.049208330058276e-09
6.881337948926294e-09,5.45568621978941e-09,6.13779221565993e-09,3.9274661573278705e-09,4.0997584544087885e-09,9.639398731878273e-09,4.6839527782881565e-09,5.9975856757244365e-09
6.7978033190802965e-09,5.3265574244775604e-09,6.000847312824229e-09,3.872058435112436e-09,4.036216331510378e-09,9.485577130066749e-09,4.654526344805317e-09,5.9511203050608044e-09
6.717609619450737e-09,5.202630852405786e-09,5.870160418766279e-09,3.8212193113844185e-09,3.9769079738481335e-09,9.339182757666705e-09,4.629988739758666e-09,5.909977608115464e-09
6.640848502063479e-09,5.083935709281264e-09,5.745792061156269e-09,3.775126656558563e-09,3.921966211438252e-09,9.200357102310184e-09,4.610560183075088e-09,5.874334721401166e-09
6.567615771818319e-09,4.970501974348842e-09,5.62780515603029e-09,3.733974394408621e-09,3.871534304502158e-09,9.06924877434806e-09,4.5964807554924955e-09,5.844381589531668e-09
6.498011624393564e-09,4.8623604262573694e-09,5.516265126792607e-09,3.697974354996789e-09,3.825766987715652e-09,8.946013960875828e-09,4.588012689152827e-09,5.820322144234853e-09
6.432140900701431e-09,4.7595426697819035e-09,5.411240030375399e-09,3.6673583902158165e-09,3.784831642458338e-09,8.830816914577635e-09,4.5854429826985356e-09,5.802375615876094e-09
6.3701133592437134e-09,4.662081163819907e-09,5.312800691110595e-09,3.642380796626756e-09,3.748909615867317e-09,8.72383048154827e-09,4.589086395864967e-09,5.79077799559028e-09
6.312043967822916e-09,4.570009250366978e-09,5.221020842760483e-09,3.623321098755863e-09,3.7181977083849805e-09,8.625236670269172e-09,4.599288889223462e-09,5.7857836681535855e-09
