dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
7.216780111567568e-07,8.09502917081034e-15,1.7229959840020616e-08,0.0021908074875617283,127.0,19.0,5.168,1.0
7.029365407452571e-07,7.787037290049455e-15,1.6433709522167708e-08,0.002166780392282804,127.0,20.0,5.44,1.0
6.835777685972077e-07,7.483191678624218e-15,1.569550016403553e-08,0.0021434631264602593,127.0,21.0,5.712,1.0
6.636016947126163e-07,7.183348982768661e-15,1.5010091451796355e-08,0.0021208751155211134,127.0,22.0,5.984,1.0
6.430083190914675e-07,6.8873630432572534e-15,1.4372871400812905e-08,0.0020990357848923863,127.0,23.0,6.256,1.0
6.217976417337538e-07,6.595084895404909e-15,1.377976492325697e-08,0.0020779645600010987,127.0,24.0,6.5280000000000005,1.0
5.999696626394447e-07,6.306362769066978e-15,1.3227157910060717e-08,0.0020576808662742716,127.0,25.0,6.800000000000001,1.0
5.77524381808624e-07,6.021042088639273e-15,1.27118338406316e-08,0.002038204129138923,127.0,26.0,7.072000000000001,1.0
5.544617992412573e-07,5.738965473058029e-15,1.2230920572632587e-08,0.0020195537740220733,127.0,27.0,7.344,1.0
5.307819149373066e-07,5.45997273579994e-15,1.1781845454859043e-08,0.002001749226350743,127.0,28.0,7.6160000000000005,1.0
5.064847288967683e-07,5.183900884882136e-15,1.1362297282376472e-08,0.0019848099115519534,127.0,29.0,7.888000000000001,1.0
4.81570241119741e-07,4.910584122862196e-15,1.0970193907496477e-08,0.0019687552550527224,127.0,30.0,8.16,1.0
4.560384516061033e-07,4.63985384683814e-15,1.0603654549143387e-08,0.001953604682280071,127.0,31.0,8.432,1.0
4.298893603559158e-07,4.371538648448429e-15,1.0260976024846993e-08,0.0019393776186610195,127.0,32.0,8.704,1.0
4.0312296736919e-07,4.105464313871973e-15,9.940612271082236e-09,0.0019260934896225873,127.0,33.0,8.976,1.0
3.7573927264590683e-07,3.841453823828123e-15,9.641156633964878e-09,0.0019137717205917944,127.0,34.0,9.248000000000001,1.0
3.4773827618604735e-07,3.579327353576674e-15,9.3613265023342e-09,0.0019024317369956615,127.0,35.0,9.520000000000001,1.0
3.1911997798963056e-07,3.318902272917864e-15,9.099949929636883e-09,0.0018920929642612086,127.0,36.0,9.792000000000002,1.0
2.898843780566602e-07,3.0599931461923795e-15,8.855953950631964e-09,0.0018827748278154551,127.0,37.0,10.064000000000002,1.0
2.6003147638714783e-07,2.8024117322813418e-15,8.628354347681245e-09,0.001874496753085421,127.0,38.0,10.336,1.0
2.29561272981059e-07,2.5459669846063253e-15,8.416246660951776e-09,0.0018672781654981273,127.0,39.0,10.608,1.0
1.9847376783842432e-07,2.290465051129342e-15,8.218798269745276e-09,0.0018611384904805932,127.0,40.0,10.88,1.0
1.6676896095920953e-07,2.035709274352849e-15,8.035241398789502e-09,0.0018560971534598391,127.0,41.0,11.152,1.0
1.344468523434716e-07,1.781500191319751e-15,7.864866926080474e-09,0.0018521735798628844,127.0,42.0,11.424,1.0
1.0150744199115352e-07,1.5276355336133911e-15,7.707018886830028e-09,0.0018493871951167499,127.0,43.0,11.696,1.0
6.795072990227434e-08,1.273910227357559e-15,7.561089584218166e-09,0.0018477574246484553,127.0,44.0,11.968,1.0
3.377671607685304e-08,1.0201163932164874e-15,7.426515229893184e-09,0.0018473036938850208,127.0,45.0,12.24,1.0
-1.0145994851331912e-09,7.660433463948534e-16,7.302772048644228e-09,0.001848045428253466,127.0,46.0,12.512,1.0
-3.6423216783695745e-08,5.114775966377773e-16,7.189372790544137e-09,0.0018500020531808119,127.0,47.0,12.784,1.0
-7.24491358187662e-08,2.5620284823082365e-16,7.085863601659938e-09,0.0018531929940940768,127.0,48.0,13.056000000000001,1.0
-1.0909235659044721e-07,0.0,6.991821211000779e-09,0.0018576376764202827,127.0,49.0,13.328000000000001,1.0
2.509280212781086e-06,2.722086906170324e-14,1.084807863348741e-08,0.005565630770929629,247.0,1.0,0.272,1.0
2.4736543418639846e-06,2.6464813001068297e-14,2.12221074509091e-08,0.005485356848448661,247.0,2.0,0.544,1.0
2.4370001154368892e-06,2.5721173919619324e-14,2.028794913809076e-08,0.0054064083759274555,247.0,3.0,0.8160000000000001,1.0
2.3993175334996465e-06,2.498969186273016e-14,1.941167561467492e-08,0.0053288132190309825,247.0,4.0,1.088,1.0
2.3606065960523175e-06,2.4270104612667122e-14,1.8588732216628063e-08,0.0052525992434242115,247.0,5.0,1.36,1.0
2.3208673030948115e-06,2.3562147688589043e-14,1.7815035733904764e-08,0.005177794314772115,247.0,6.0,1.6320000000000001,1.0
2.2800996546272806e-06,2.2865554346547205e-14,1.708691494915716e-08,0.005104426298739659,247.0,7.0,1.9040000000000001,1.0
2.238303650649549e-06,2.218005557948544e-14,1.640105995364986e-08,0.005032523060991817,247.0,8.0,2.176,1.0
2.1954792911617316e-06,2.1505380117240022e-14,1.5754478766631604e-08,0.0049621124671935584,247.0,9.0,2.4480000000000004,1.0
2.151626576163775e-06,2.084125442653976e-14,1.514446005751769e-08,0.004893222383009853,247.0,10.0,2.72,1.0
2.106745505655778e-06,2.0187402711005917e-14,1.4568540993632009e-08,0.004825880674105669,247.0,11.0,2.992,1.0
2.0608360796376184e-06,1.9543546911152272e-14,1.4024479408628803e-08,0.004760115206145979,247.0,12.0,3.2640000000000002,1.0
2.0138982981093577e-06,1.8909406704385086e-14,1.3510229629949118e-08,0.004695953844795751,247.0,13.0,3.5360000000000005,1.0
1.965932161070935e-06,1.828469950500313e-14,1.3023921415258856e-08,0.004633424455719957,247.0,14.0,3.8080000000000003,1.0
1.9169376685224873e-06,1.766914046419764e-14,1.2563841541920254e-08,0.004572554904583565,247.0,15.0,4.08,1.0
1.866914820463816e-06,1.7062442470052367e-14,1.2128417666936618e-08,0.004513373057051546,247.0,16.0,4.352,1.0
1.8158636168951127e-06,1.6464316147543545e-14,1.1716204138142983e-08,0.004455906778788871,247.0,17.0,4.6240000000000006,1.0
1.7637840578162997e-06,1.587446985853989e-14,1.132586948578095e-08,0.004400183935460508,247.0,18.0,4.896000000000001,1.0
1.7106761432273326e-06,1.5292609701802633e-14,1.0956185367861085e-08,0.0043462323927314275,247.0,19.0,5.168,1.0
1.656539873128272e-06,1.4718439512985486e-14,1.0606016775195416e-08,0.0042940800162666,247.0,20.0,5.44,1.0
1.6013752475190338e-06,1.4151660864634658e-14,1.0274313331982661e-08,0.004243754671730996,247.0,21.0,5.712,1.0
1.5451822663997933e-06,1.3591973066188841e-14,9.960101551796472e-09,0.004195284224789585,247.0,22.0,5.984,1.0
1.4879609297703752e-06,1.3039073163979218e-14,9.662477928300816e-09,0.004148696541107336,247.0,23.0,6.256,1.0
1.4297112376308638e-06,1.2492655941229476e-14,9.380602758226442e-09,0.00410401948634922,247.0,24.0,6.5280000000000005,1.0
1.3704331899811825e-06,1.1952413918055797e-14,9.113694606920537e-09,0.004061280926180208,247.0,25.0,6.800000000000001,1.0
1.3101267868214686e-06,1.141803735146684e-14,8.86102534043903e-09,0.0040205087262652674,247.0,26.0,7.072000000000001,1.0
1.2487920281516074e-06,1.0889214235363763e-14,8.621915657148104e-09,0.00398173075226937,247.0,27.0,7.344,1.0
1.186428913971607e-06,1.0365630300540219e-14,8.39573106167069e-09,0.003944974869857487,247.0,28.0,7.6160000000000005,1.0
1.1230374442815283e-06,9.846969014682357e-15,8.181878230519023e-09,0.003910268944694584,247.0,29.0,7.888000000000001,1.0
1.0586176190813103e-06,9.332911582368805e-15,7.979801725879436e-09,0.0038776408424456357,247.0,30.0,8.16,1.0
9.93169438370968e-07,8.823136945070702e-15,7.788981019262267e-09,0.0038471184287756114,247.0,31.0,8.432,1.0
9.266929021505703e-07,8.317321781151663e-15,7.608927791334508e-09,0.0038187295693494776,247.0,32.0,8.704,1.0
8.591880104200028e-07,7.815140505867802e-15,7.439183478557647e-09,0.003792502129832208,247.0,33.0,8.976,1.0
7.906547631793643e-07,7.31626527136773e-15,7.279317040799036e-09,0.0037684639758887705,247.0,34.0,9.248000000000001,1.0
7.210931604285562e-07,6.820365966692537e-15,7.128922926800036e-09,0.0037466429731841367,247.0,35.0,9.520000000000001,1.0
6.505032021676544e-07,6.327110217775829e-15,6.987619217646023e-09,0.003727066987383276,247.0,36.0,9.792000000000002,1.0
5.78884888396697e-07,5.836163387443671e-15,6.855045930043192e-09,0.0037097638841511564,247.0,37.0,10.064000000000002,1.0
5.06238219115547e-07,5.347188575414651e-15,6.730863463769248e-09,0.003694761529152751,247.0,38.0,10.336,1.0
4.325631943243033e-07,4.8598466182998344e-15,6.614751179191147e-09,0.0036820877880530288,247.0,39.0,10.608,1.0
3.57859814022966e-07,4.373796089602783e-15,6.5064060921531125e-09,0.0036717705265169594,247.0,40.0,10.88,1.0
2.82128078211497e-07,3.888693299719547e-15,6.4055416753008095e-09,0.0036638376102095123,247.0,41.0,11.152,1.0
2.0536798688994188e-07,3.4041922959386764e-15,6.311886755726375e-09,0.003658316904795658,247.0,42.0,11.424,1.0
1.2757954005823228e-07,2.9199448624412064e-15,6.225184500021048e-09,0.003655236275940367,247.0,43.0,11.696,1.0
4.87627377164138e-08,2.4356005203006687e-15,6.1451914788422606e-09,0.00365462358930861,247.0,44.0,11.968,1.0
-3.108242013546794e-08,1.9508065274830853e-15,6.071676803706865e-09,0.003656506710565354,247.0,45.0,12.24,1.0
-1.1195593349749659e-07,1.4652078788469737e-15,6.004421329667466e-09,0.0036609135053755704,247.0,46.0,12.512,1.0
-1.9385780236968736e-07,9.784473061433397e-16,5.943216918080733e-09,0.0036678718394042315,247.0,47.0,12.784,1.0
-2.767880267519185e-07,4.901652780156843e-16,5.887865754192701e-09,0.003677409578316305,247.0,48.0,13.056000000000001,1.0
-3.6074660664431183e-07,0.0,5.83817971485358e-09,0.0036895545877767616,247.0,49.0,13.328000000000001,1.0
5.054489781765703e-06,4.650035174815582e-14,9.199811208622462e-09,0.010184449966399474,367.0,1.0,0.272,1.0
4.962469368097029e-06,4.527096443103819e-14,1.3359941214175797e-08,0.010036514293000155,367.0,2.0,0.544,1.0
4.8691941564546546e-06,4.405949979597056e-14,1.2988066322620604e-08,0.009891542626517404,367.0,3.0,0.8160000000000001,1.0
4.77466414683852e-06,4.28655182269908e-14,1.263071456173818e-08,0.009749564805811408,367.0,4.0,1.088,1.0
4.678879339248625e-06,4.1688579579057706e-14,1.228732068839339e-08,0.009610610669742356,367.0,5.0,1.36,1.0
4.5818397336847736e-06,4.0528243178051125e-14,1.1957348695560021e-08,0.009474710057170444,367.0,6.0,1.6320000000000001,1.0
4.483545330147328e-06,3.938406782077181e-14,1.1640289946349168e-08,0.00934189280695586,367.0,7.0,1.9040000000000001,1.0
4.383996128635971e-06,3.825561177494154e-14,1.1335661448791584e-08,0.009212188757958794,367.0,8.0,2.176,1.0
4.283192129150808e-06,3.7142432779203e-14,1.1043004259988519e-08,0.009085627749039442,367.0,9.0,2.4480000000000004,1.0
4.1811333316918705e-06,3.604408804311986e-14,1.0761882007526559e-08,0.00896223961905799,367.0,10.0,2.72,1.0
4.0778197362592935e-06,3.4960134247176815e-14,1.0491879518900703e-08,0.008842054206874622,367.0,11.0,2.992,1.0
3.973251342852698e-06,3.389012754277947e-14,1.023260154946453e-08,0.00872510135134954,367.0,12.0,3.2640000000000002,1.0
3.867428151472542e-06,3.283362355225437e-14,9.983671601149708e-09,0.008611410891342928,367.0,13.0,3.5360000000000005,1.0
3.7603501621183045e-06,3.179017736884915e-14,9.74473082374828e-09,0.008501012665714984,367.0,14.0,3.8080000000000003,1.0
3.6520173747906422e-06,3.075934355673227e-14,9.51543699322557e-09,0.008393936513325885,367.0,15.0,4.08,1.0
3.542429789488809e-06,2.974067615099326e-14,9.295463559429028e-09,0.008290212273035835,367.0,16.0,4.352,1.0
3.4315874062134897e-06,2.8733728657642564e-14,9.084498759374011e-09,0.008189869783705016,367.0,17.0,4.6240000000000006,1.0
3.319490224964288e-06,2.773805405361163e-14,8.88224478916612e-09,0.008092938884193622,367.0,18.0,4.896000000000001,1.0
3.206138245741236e-06,2.675320478675286e-14,8.68841703170264e-09,0.007999449413361844,367.0,19.0,5.168,1.0
3.091531468544393e-06,2.5778732775839613e-14,8.50274333462447e-09,0.007909431210069873,367.0,20.0,5.44,1.0
2.975669893373805e-06,2.481418941056624e-14,8.324963335370122e-09,0.007822914113177898,367.0,21.0,5.712,1.0
2.858553520229442e-06,2.385912555154804e-14,8.15482782958918e-09,0.00773992796154611,367.0,22.0,5.984,1.0
2.740182349111258e-06,2.29130915303213e-14,7.99209817973499e-09,0.0076605025940346995,367.0,23.0,6.256,1.0
2.620556380019329e-06,2.197563714934325e-14,7.83654576087608e-09,0.007584667849503857,367.0,24.0,6.5280000000000005,1.0
2.4996756129535033e-06,2.104631168199212e-14,7.68795144098536e-09,0.007512453566813774,367.0,25.0,6.800000000000001,1.0
2.3775400479140542e-06,2.0124663872567078e-14,7.546105093363719e-09,0.007443889584824639,367.0,26.0,7.072000000000001,1.0
2.254149684900693e-06,1.92102419362883e-14,7.410805138645707e-09,0.007379005742396644,367.0,27.0,7.344,1.0
2.129504523913511e-06,1.8302593559296896e-14,7.281858114690432e-09,0.007317831878389982,367.0,28.0,7.6160000000000005,1.0
2.0036045649526603e-06,1.740126589865494e-14,7.159078271997106e-09,0.007260397831664839,367.0,29.0,7.888000000000001,1.0
1.8764498080179581e-06,1.650580558234552e-14,7.042287193150541e-09,0.0072067334410814065,367.0,30.0,8.16,1.0
1.748040253109359e-06,1.5615758709272635e-14,6.931313434630404e-09,0.007156868545499881,367.0,31.0,8.432,1.0
1.6183759002272584e-06,1.473067084926129e-14,6.82599218935774e-09,0.007110832983780442,367.0,32.0,8.704,1.0
1.4874567493710477e-06,1.3850087043057463e-14,6.726164968568867e-09,0.007068656594783292,367.0,33.0,8.976,1.0
1.3552828005412899e-06,1.2973551802328074e-14,6.631679302086834e-09,0.007030369217368612,367.0,34.0,9.248000000000001,1.0
1.221854053737544e-06,1.210060910966103e-14,6.542388455098163e-09,0.006996000690396599,367.0,35.0,9.520000000000001,1.0
1.0871705089601598e-06,1.1230802418565203e-14,6.458151161179448e-09,0.00696558085272744,367.0,36.0,9.792000000000002,1.0
9.512321662089394e-07,1.0363674653470438e-14,6.378831369760688e-09,0.006939139543221327,367.0,37.0,10.064000000000002,1.0
8.140390254838675e-07,9.498768209727535e-15,6.3042980076980054e-09,0.006916706600738451,367.0,38.0,10.336,1.0
6.755910867850966e-07,8.635624953608279e-15,6.234424753677602e-09,0.006898311864139001,367.0,39.0,10.608,1.0
5.358883501124896e-07,7.773786222305416e-15,6.1690898247940525e-09,0.006883985172283168,367.0,40.0,10.88,1.0
3.9493081546609194e-07,6.9127928239326565e-15,6.108175774587888e-09,0.006873756364031145,367.0,41.0,11.152,1.0
2.5271848284597993e-07,6.052185037524689e-15,6.051569301706667e-09,0.006867655278243116,367.0,42.0,11.424,1.0
1.0925135225191016e-07,5.191502613037166e-15,5.9991610686266786e-09,0.006865711753779282,367.0,43.0,11.696,1.0
-3.5470576315798054e-08,4.3302847713467076e-15,5.950845529864104e-09,0.006867955629499824,367.0,44.0,11.968,1.0
-1.8144730285735757e-07,3.4680702042509075e-15,5.906520768913996e-09,0.006874416744264939,367.0,45.0,12.24,1.0
-3.286788273726468e-07,2.604397074468323e-15,5.866088343688219e-09,0.006885124936934812,367.0,46.0,12.512,1.0
-4.77165149861848e-07,1.738803015638485e-15,5.8294531396505496e-09,0.00690011004636964,367.0,47.0,12.784,1.0
-6.269062703247334e-07,8.708251323218884e-16,5.796523230449128e-09,0.0069194019114296075,367.0,48.0,13.056000000000001,1.0
-7.779021887614701e-07,0.0,5.767209745386205e-09,0.00694303037097491,367.0,49.0,13.328000000000001,1.0
8.103879068103463e-06,6.361716655553572e-14,7.850211734517399e-09,0.01612572976504074,487.0,1.0,0.272,1.0
7.936896219043656e-06,6.203337969903419e-14,9.484727715564844e-09,0.01590867056505381,487.0,2.0,0.544,1.0
7.768677726431022e-06,6.046788477619779e-14,9.306318815026758e-09,0.015696383239497107,487.0,3.0,0.8160000000000001,1.0
7.599223590265834e-06,5.892019742046545e-14,9.133370189463064e-09,0.015488894773179246,487.0,4.0,1.088,1.0
7.428533810548215e-06,5.738983403054206e-14,8.9657587727581e-09,0.015286232150908822,487.0,5.0,1.36,1.0
7.25660838727707e-06,5.5876311770398113e-14,8.803365036693585e-09,0.01508842235749448,487.0,6.0,1.6320000000000001,1.0
7.083447320453978e-06,5.437914856927012e-14,8.646072864967708e-09,0.014895492377744806,487.0,7.0,1.9040000000000001,1.0
6.909050610077909e-06,5.289786312166023e-14,8.493769431863976e-09,0.014707469196468417,487.0,8.0,2.176,1.0
6.733418256148738e-06,5.1431974887336494e-14,8.346345086935974e-09,0.014524379798473944,487.0,9.0,2.4480000000000004,1.0
6.556550258667197e-06,4.9981004091332815e-14,8.203693243912641e-09,0.014346251168569983,487.0,10.0,2.72,1.0
6.378446617633102e-06,4.8544471723948776e-14,8.065710274328643e-09,0.014173110291565146,487.0,11.0,2.992,1.0
6.199107333045937e-06,4.7121899540749867e-14,7.932295405736896e-09,0.014004984152268052,487.0,12.0,3.2640000000000002,1.0
6.01853240490631e-06,4.571281006256744e-14,7.80335062402942e-09,0.013841899735487311,487.0,13.0,3.5360000000000005,1.0
5.8367218332134915e-06,4.431672657549848e-14,7.678780579534936e-09,0.013683884026031545,487.0,14.0,3.8080000000000003,1.0
5.653675617968636e-06,4.293317313090599e-14,7.558492497327802e-09,0.01353096400870935,487.0,15.0,4.08,1.0
5.469393759170253e-06,4.1561674545418635e-14,7.442396090587906e-09,0.013383166668329362,487.0,16.0,4.352,1.0
5.283876256819805e-06,4.0201756400930977e-14,7.330403478151244e-09,0.013240518989700174,487.0,17.0,4.6240000000000006,1.0
5.0971231109164685e-06,3.8852945044603356e-14,7.222429104491589e-09,0.013103047957630402,487.0,18.0,4.896000000000001,1.0
4.909134321460275e-06,3.7514767588861936e-14,7.118389663620074e-09,0.012970780556928664,487.0,19.0,5.168,1.0
4.7199098884513455e-06,3.618675191139869e-14,7.0182040254842775e-09,0.01284374377240357,487.0,20.0,5.44,1.0
4.529449811889801e-06,3.4868426655171385e-14,6.9217931654107356e-09,0.012721964588863734,487.0,21.0,5.712,1.0
4.3377540917753085e-06,3.355932122840364e-14,6.8290800962372515e-09,0.012605469991117777,487.0,22.0,5.984,1.0
4.144822728108446e-06,3.225896580458486e-14,6.739989803130794e-09,0.012494286963974295,487.0,23.0,6.256,1.0
3.950655720888663e-06,3.096689132247027e-14,6.654449180710009e-09,0.01238844249224191,487.0,24.0,6.5280000000000005,1.0
3.755253070115964e-06,2.968262948608087e-14,6.572386972801655e-09,0.012287963560729242,487.0,25.0,6.800000000000001,1.0
3.5586147757908323e-06,2.840571276470356e-14,6.493733714278412e-09,0.012192877154244892,487.0,26.0,7.072000000000001,1.0
3.3607408379129343e-06,2.7135674392890954e-14,6.418421675098552e-09,0.012103210257597476,487.0,27.0,7.344,1.0
3.1616312564821187e-06,2.5872048370461553e-14,6.346384806541676e-09,0.012018989855595612,487.0,28.0,7.6160000000000005,1.0
2.961286031498749e-06,2.461436946249964e-14,6.277558689338917e-09,0.011940242933047907,487.0,29.0,7.888000000000001,1.0
2.7597051629626444e-06,2.3362173199355293e-14,6.211880483688209e-09,0.011866996474762977,487.0,30.0,8.16,1.0
2.55688865087359e-06,2.211499587664444e-14,6.149288881189476e-09,0.011799277465549436,487.0,31.0,8.432,1.0
2.352836495232196e-06,2.0872374555248803e-14,6.08972405848752e-09,0.011737112890215892,487.0,32.0,8.704,1.0
2.1475486960376707e-06,1.9633847061315904e-14,6.033127632486836e-09,0.011680529733570963,487.0,33.0,8.976,1.0
1.941025253290744e-06,1.839895198625909e-14,5.979442617417776e-09,0.011629554980423258,487.0,34.0,9.248000000000001,1.0
1.7332661669908078e-06,1.7167228686757532e-14,5.928613383115058e-09,0.011584215615581397,487.0,35.0,9.520000000000001,1.0
1.5242714371384094e-06,1.5938217284756192e-14,5.88058561509816e-09,0.011544538623853982,487.0,36.0,9.792000000000002,1.0
1.3140410637331236e-06,1.471145866746586e-14,5.835306275774749e-09,0.011510550990049634,487.0,37.0,10.064000000000002,1.0
1.1025750467750713e-06,1.3486494487363134e-14,5.792723567237361e-09,0.011482279698976965,487.0,38.0,10.336,1.0
8.898733862643744e-07,1.2262867162190423e-14,5.752786895197624e-09,0.011459751735444588,487.0,39.0,10.608,1.0
6.759360822010027e-07,1.1040119874955938e-14,5.715446834238349e-09,0.01144299408426111,487.0,40.0,10.88,1.0
4.6076313458477343e-07,9.81779657393373e-15,5.680655094255978e-09,0.011432033730235151,487.0,41.0,11.152,1.0
2.4435454341605173e-07,8.595441972663637e-15,5.648364488067351e-09,0.011426897658175316,487.0,42.0,11.424,1.0
2.6710308694198863e-08,7.372601549951317e-15,5.618528900042298e-09,0.01142761285289023,487.0,43.0,11.696,1.0
-1.9216956958005526e-07,6.148821549868246e-15,5.591103255958907e-09,0.0114342062991885,487.0,44.0,11.968,1.0
-4.122850914072277e-07,4.9236489817517095e-15,5.566043493645589e-09,0.011446704981878737,487.0,45.0,12.24,1.0
-6.336362567868317e-07,3.6966316202047985e-15,5.543306534856726e-09,0.011465135885769548,487.0,46.0,12.512,1.0
-8.562230657195669e-07,2.467318005096426e-15,5.522850257850934e-09,0.01148952599566956,487.0,47.0,12.784,1.0
-1.080045518204673e-06,1.2352574415613158e-15,5.504633471108514e-09,0.011519902296387373,487.0,48.0,13.056000000000001,1.0
-1.3051036142428492e-06,0.0,5.488615887658542e-09,0.011556291772731613,487.0,49.0,13.328000000000001,1.0
1.0594626190762004e-05,6.24392397859691e-14,5.8934820975952e-09,0.021559723752416292,607.0,1.0,0.272,1.0
1.0361226672653559e-05,6.09878855642366e-14,6.218325699619273e-09,0.021300300141850977,607.0,2.0,0.544,1.0
1.0126788502337368e-05,5.95477247531659e-14,6.1430304166268206e-09,0.02104688578942034,607.0,3.0,0.8160000000000001,1.0
9.891311679813978e-06,5.811842640106296e-14,6.06980481894758e-09,0.02079950147492305,607.0,4.0,1.088,1.0
9.654796205083267e-06,5.6699661220002356e-14,5.998614605137201e-09,0.020558167978157786,607.0,5.0,1.36,1.0
